title,department,openings,locations,all_locations,regions,remote_available
Machine Operator I,Not specified,3,"Bozeman, Montana, United States; Tucson, Arizona, United States","Bozeman, Montana, United States | Tucson, Arizona, United States",Not specified,No
Lab Analyst II,Not specified,2,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Associate HR Specialist,Not specified,1,"Lakewood, Colorado, United States","Lakewood, Colorado, United States",Not specified,No
"Associate Manager, Production Manufacturing",Not specified,1,"Lakewood, Colorado, United States","Lakewood, Colorado, United States",Not specified,No
Buyer,Not specified,1,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Channel Sales Manager,Not specified,1,"Beijing, China","Beijing, China",Not specified,No
"Director, Operations",Not specified,1,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Intern - Research and Development,Not specified,1,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Inventory Control Technician IV,Not specified,1,"Lakewood, Colorado, United States","Lakewood, Colorado, United States",Not specified,No
Lab Technician I,Not specified,1,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Manufacturing Engineering Intern,Not specified,1,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Production Process Operator I - MIST (Mail-In Spore Testing),Not specified,1,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Quality Control Inspector II,Not specified,1,"Tucson, Arizona, United States","Tucson, Arizona, United States",Not specified,No
Regional Sales Manager,Not specified,1,"Nagano, Tokyo, Japan","Nagano, Tokyo, Japan",Not specified,No
Senior Cost Accountant,Not specified,1,"Lakewood, Colorado, United States","Lakewood, Colorado, United States",Not specified,No
Senior Quality Auditor,Not specified,1,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Senior Regional Sales Manager,Not specified,1,Remote USA,Remote USA,Not specified,Yes
Senior Technical Product Manager,Not specified,1,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Shipping & Receiving Specialist II (Temporary),Not specified,1,"San Diego, California, United States","San Diego, California, United States",Not specified,No
Shipping & Receiving Specialist III,Not specified,1,"Lakewood, Colorado, United States","Lakewood, Colorado, United States",Not specified,No
Sr Regional Sales Mgr,Not specified,1,"St Tokwawan, Democratic Peoples Republic of Korea","St Tokwawan, Democratic Peoples Republic of Korea",Not specified,No
"Staff Global Product Marketing Manager, Hospital",Not specified,1,"Bozeman, Montana, United States","Bozeman, Montana, United States",Not specified,No
Staff Sourcing Manager,Not specified,1,"Lakewood, Colorado, United States","Lakewood, Colorado, United States",Not specified,No
